transaction_id,status,bank,region,hour,payment_mode,timestamp,day,month,peak_hour,failure_reason,failed_payment_mode
1,Success,ICICI,Delhi,14,Net Banking,2025-05-01,Wednesday,May,12,,
2,Success,Kotak,Chennai,4,Card,2025-05-21,Friday,April,18,,
3,Success,Kotak,Chennai,6,Net Banking,2025-06-17,Saturday,April,21,,
4,Success,HDFC,Mumbai,12,Card,2025-05-20,Tuesday,May,12,,
5,Success,HDFC,Chennai,18,Wallet,2025-03-16,Thursday,January,18,,
6,Success,PNB,Kolkata,18,Card,2025-02-10,Wednesday,April,18,,
7,Success,AXIS,Hyderabad,5,Net Banking,2025-03-23,Sunday,February,21,,
8,Success,AXIS,Mumbai,21,Net Banking,2025-01-13,Wednesday,January,21,,
9,Success,HDFC,Chennai,11,Wallet,2025-03-12,Friday,February,21,,
10,Failure,PNB,Mumbai,6,Card,2025-05-28,Thursday,January,18,Bank Server Down,Card
11,Failure,ICICI,Pune,8,Card,2025-05-11,Wednesday,May,9,Bank Server Down,Card
12,Success,HDFC,Mumbai,8,Card,2025-03-19,Saturday,February,21,,
13,Success,PNB,Bengaluru,2,Net Banking,2025-06-05,Friday,June,21,,
14,Success,SBI,Kolkata,23,Net Banking,2025-03-21,Thursday,May,21,,
15,Success,ICICI,Delhi,10,Wallet,2025-06-25,Wednesday,March,12,,
16,Success,HDFC,Kolkata,9,Net Banking,2025-02-04,Thursday,March,9,,
17,Success,ICICI,Bengaluru,18,Wallet,2025-01-25,Friday,March,18,,
18,Success,SBI,Hyderabad,0,Net Banking,2025-06-28,Wednesday,February,12,,
19,Success,HDFC,Kolkata,18,Card,2025-03-25,Friday,January,18,,
20,Success,BOB,Pune,22,Card,2025-04-13,Monday,June,21,,
21,Success,HDFC,Mumbai,6,UPI,2025-04-15,Friday,January,21,,
22,Success,PNB,Chennai,11,Wallet,2025-06-14,Friday,May,9,,
23,Failure,ICICI,Mumbai,0,Net Banking,2025-06-18,Friday,June,21,Network Issue,Net Banking
24,Success,Kotak,Pune,6,Card,2025-06-04,Thursday,May,9,,
25,Success,PNB,Mumbai,2,UPI,2025-02-19,Monday,June,9,,
26,Success,SBI,Delhi,21,Net Banking,2025-04-13,Friday,June,21,,
27,Success,ICICI,Bengaluru,19,Wallet,2025-04-09,Friday,March,12,,
28,Success,BOB,Delhi,4,UPI,2025-06-24,Sunday,June,18,,
29,Failure,SBI,Hyderabad,0,UPI,2025-03-22,Wednesday,April,9,Insufficient Balance,UPI
30,Failure,PNB,Mumbai,19,Card,2025-05-02,Saturday,March,12,Daily Limit Exceeded,Card
31,Success,SBI,Delhi,2,Wallet,2025-02-22,Saturday,April,21,,
32,Success,Kotak,Pune,7,Wallet,2025-05-14,Sunday,February,21,,
33,Success,Kotak,Chennai,19,Net Banking,2025-03-04,Thursday,March,12,,
34,Failure,SBI,Kolkata,20,Card,2025-05-08,Monday,March,18,Invalid UPI ID,Card
35,Failure,ICICI,Bengaluru,20,UPI,2025-02-05,Tuesday,June,9,Network Issue,UPI
36,Success,SBI,Bengaluru,4,Net Banking,2025-02-07,Wednesday,June,9,,
37,Success,HDFC,Chennai,18,UPI,2025-04-11,Friday,January,18,,
38,Success,Kotak,Mumbai,23,Card,2025-02-06,Thursday,January,12,,
39,Success,HDFC,Pune,9,Wallet,2025-02-07,Tuesday,January,9,,
40,Success,ICICI,Delhi,6,Wallet,2025-06-11,Wednesday,January,9,,
41,Success,HDFC,Kolkata,1,UPI,2025-02-12,Wednesday,January,21,,
42,Success,Kotak,Mumbai,8,Card,2025-06-02,Monday,April,18,,
43,Success,ICICI,Bengaluru,8,UPI,2025-05-23,Wednesday,March,12,,
44,Success,BOB,Chennai,2,Wallet,2025-05-24,Monday,March,21,,
45,Failure,ICICI,Delhi,22,Wallet,2025-02-01,Friday,February,21,Network Issue,Wallet
46,Success,HDFC,Delhi,6,Card,2025-03-26,Thursday,March,18,,
47,Success,Kotak,Kolkata,16,Card,2025-01-24,Monday,May,12,,
48,Failure,ICICI,Delhi,13,Wallet,2025-01-21,Sunday,February,21,Wrong PIN,Wallet
49,Success,BOB,Pune,13,Wallet,2025-04-04,Wednesday,February,9,,
50,Success,PNB,Bengaluru,10,UPI,2025-04-01,Sunday,May,12,,
51,Success,SBI,Kolkata,8,Wallet,2025-06-06,Friday,June,9,,
52,Success,HDFC,Hyderabad,6,Wallet,2025-02-10,Monday,March,9,,
53,Success,PNB,Pune,6,Wallet,2025-03-05,Sunday,May,9,,
54,Success,BOB,Hyderabad,22,Card,2025-03-09,Friday,June,21,,
55,Success,Kotak,Bengaluru,10,Wallet,2025-03-14,Tuesday,April,12,,
56,Success,SBI,Bengaluru,20,UPI,2025-03-22,Wednesday,March,18,,
57,Success,SBI,Kolkata,7,Net Banking,2025-04-07,Tuesday,April,18,,
58,Success,Kotak,Delhi,16,UPI,2025-02-04,Sunday,April,12,,
59,Success,SBI,Hyderabad,14,Wallet,2025-05-23,Saturday,March,21,,
60,Success,HDFC,Kolkata,20,Net Banking,2025-04-01,Saturday,June,12,,
61,Success,PNB,Hyderabad,21,UPI,2025-01-22,Wednesday,May,21,,
62,Failure,AXIS,Delhi,7,Net Banking,2025-03-21,Monday,March,12,Network Issue,Net Banking
63,Success,ICICI,Bengaluru,19,Card,2025-05-27,Tuesday,April,18,,
64,Failure,SBI,Mumbai,9,Card,2025-03-18,Thursday,January,9,Insufficient Balance,Card
65,Failure,SBI,Hyderabad,0,Net Banking,2025-06-01,Tuesday,January,12,Wrong PIN,Net Banking
66,Success,HDFC,Chennai,18,Card,2025-04-24,Friday,January,18,,
67,Success,SBI,Mumbai,4,UPI,2025-03-07,Monday,June,18,,
68,Failure,AXIS,Kolkata,3,Wallet,2025-03-21,Sunday,May,9,Daily Limit Exceeded,Wallet
69,Success,BOB,Kolkata,7,UPI,2025-03-25,Monday,January,9,,
